year,month,district,department,request_count,avg_response_time,resolution_rate,priority_critical_count,priority_high_count,priority_medium_count,priority_low_count
2021,1,Downtown,Public Works,25,85.6,0.677,0,9,19,19
2021,1,Downtown,Parks & Recreation,16,30.5,0.721,1,15,22,8
2021,1,Downtown,Building & Safety,29,87.0,0.685,1,8,21,4
2021,1,Downtown,Transportation,10,75.8,0.677,4,4,14,8
2021,1,Downtown,Utilities,13,68.9,0.746,2,13,12,14
2021,1,Downtown,Environmental Services,21,80.8,0.713,2,15,7,11
2021,1,Downtown,Code Enforcement,11,70.0,0.714,5,10,13,7
2021,1,Downtown,Permits & Licensing,25,75.4,0.886,2,11,22,5
2021,1,Northside,Public Works,21,33.1,0.884,5,4,23,7
2021,1,Northside,Parks & Recreation,10,66.7,0.684,5,11,24,13
2021,1,Northside,Building & Safety,23,54.8,0.693,0,15,5,5
2021,1,Northside,Transportation,7,74.4,0.855,5,14,23,11
2021,1,Northside,Utilities,32,31.6,0.787,1,14,23,16
2021,1,Northside,Environmental Services,24,82.7,0.903,5,2,20,20
2021,1,Northside,Code Enforcement,14,61.0,0.907,5,6,20,10
2021,1,Northside,Permits & Licensing,30,62.6,0.756,5,8,14,17
2021,1,Southside,Public Works,7,85.1,0.783,5,2,10,17
2021,1,Southside,Parks & Recreation,18,58.0,0.782,3,9,11,13
2021,1,Southside,Building & Safety,24,85.0,0.875,1,7,15,14
2021,1,Southside,Transportation,22,53.1,0.74,1,14,16,19
2021,1,Southside,Utilities,28,59.4,0.805,0,7,12,17
2021,1,Southside,Environmental Services,8,41.2,0.864,2,9,12,7
2021,1,Southside,Code Enforcement,8,59.0,0.74,0,6,17,16
2021,1,Southside,Permits & Licensing,12,31.7,0.714,1,15,15,13
2021,1,Eastgate,Public Works,11,92.3,0.732,1,9,21,17
2021,1,Eastgate,Parks & Recreation,20,36.2,0.774,2,9,5,5
2021,1,Eastgate,Building & Safety,17,46.1,0.659,4,9,12,9
2021,1,Eastgate,Transportation,29,47.3,0.797,2,2,6,12
2021,1,Eastgate,Utilities,26,63.7,0.746,4,15,25,18
2021,1,Eastgate,Environmental Services,14,56.2,0.911,4,2,8,16
2021,1,Eastgate,Code Enforcement,9,51.2,0.72,2,13,16,15
2021,1,Eastgate,Permits & Licensing,16,41.5,0.774,0,8,6,20
2021,1,Westbrook,Public Works,11,78.7,0.706,2,10,14,5
2021,1,Westbrook,Parks & Recreation,17,75.1,0.656,4,9,22,11
2021,1,Westbrook,Building & Safety,24,54.2,0.859,5,11,8,7
2021,1,Westbrook,Transportation,10,48.4,0.802,3,7,15,20
2021,1,Westbrook,Utilities,20,38.8,0.85,1,5,24,19
2021,1,Westbrook,Environmental Services,17,27.8,0.88,4,2,6,4
2021,1,Westbrook,Code Enforcement,9,38.3,0.886,5,7,20,19
2021,1,Westbrook,Permits & Licensing,19,49.4,0.845,1,11,21,7
2021,1,Riverside,Public Works,15,47.0,0.895,4,7,10,15
2021,1,Riverside,Parks & Recreation,24,33.1,0.698,5,15,14,13
2021,1,Riverside,Building & Safety,21,59.5,0.672,4,10,20,12
2021,1,Riverside,Transportation,26,38.1,0.905,0,7,15,6
2021,1,Riverside,Utilities,23,94.3,0.752,4,6,25,3
2021,1,Riverside,Environmental Services,24,90.5,0.797,3,6,25,10
2021,1,Riverside,Code Enforcement,28,43.4,0.84,0,11,20,8
2021,1,Riverside,Permits & Licensing,21,71.4,0.917,5,13,24,15
2021,1,Highland,Public Works,9,43.1,0.831,5,5,6,6
2021,1,Highland,Parks & Recreation,11,27.7,0.681,0,9,15,16
2021,1,Highland,Building & Safety,9,24.3,0.92,3,13,11,16
2021,1,Highland,Transportation,27,81.8,0.862,4,9,6,7
2021,1,Highland,Utilities,27,60.7,0.731,1,10,15,18
2021,1,Highland,Environmental Services,21,34.9,0.727,3,7,10,17
2021,1,Highland,Code Enforcement,22,51.1,0.854,2,10,16,11
2021,1,Highland,Permits & Licensing,24,62.9,0.671,3,5,12,11
2021,1,Lakewood,Public Works,22,25.3,0.678,2,5,14,12
2021,1,Lakewood,Parks & Recreation,27,53.6,0.902,1,13,20,13
2021,1,Lakewood,Building & Safety,20,69.9,0.866,2,10,13,12
2021,1,Lakewood,Transportation,10,57.6,0.748,4,12,22,15
2021,1,Lakewood,Utilities,22,31.8,0.887,2,14,9,12
2021,1,Lakewood,Environmental Services,6,80.4,0.695,2,13,7,14
2021,1,Lakewood,Code Enforcement,19,60.9,0.782,5,6,20,9
2021,1,Lakewood,Permits & Licensing,11,69.0,0.905,4,6,22,11
