customer_id,age,email_opt_in,churned,account_age_days,total_transactions,total_spend,avg_order_value,std_order_value,max_order_value,min_order_value,avg_discount_rate,unique_categories,days_since_last_purchase,customer_tenure_days,purchase_frequency,total_sessions,total_session_duration,avg_session_duration,max_session_duration,total_pages_viewed,avg_pages_per_session,max_pages_per_session,total_cart_abandonments,cart_abandonment_rate,mobile_session_rate,unique_referral_sources,total_tickets,avg_resolution_time,max_resolution_time,avg_satisfaction_score,ticket_resolution_rate,unique_issue_types,high_priority_tickets,tier_Basic,tier_Premium,tier_Standard,gender_F,gender_M
C001,34,1,0,350,11.0,1337.49,121.59,53.63071974158095,210.0,45.5,0.03636363636363637,4.0,6.0,339.0,0.9734513274336283,14.0,350.0,25.0,35.0,169.0,12.071428571428571,18.0,0.0,0.0,0.2857142857142857,4.0,1.0,8.0,8.0,5.0,1.0,1.0,0.0,False,True,False,True,False
C002,28,1,0,314,4.0,212.48000000000002,53.120000000000005,18.652368929084226,78.5,35.99,0.0375,3.0,194.0,115.0,1.0434782608695652,5.0,51.0,10.2,15.0,20.0,4.0,6.0,3.0,0.6,1.0,3.0,1.0,18.0,18.0,4.0,1.0,1.0,0.0,True,False,False,False,True
C003,45,0,0,357,10.0,1237.99,123.799,54.29116573317124,200.0,55.0,0.02,4.0,11.0,339.0,0.8849557522123893,14.0,468.0,33.42857142857143,42.0,242.0,17.285714285714285,24.0,0.0,0.0,0.0,4.0,1.0,4.0,4.0,5.0,1.0,1.0,0.0,False,True,False,True,False
C004,23,1,1,294,2.0,44.98,22.49,4.949747468305833,25.99,18.99,0.0,1.0,273.0,18.0,3.3333333333333335,3.0,17.0,5.666666666666667,8.0,6.0,2.0,3.0,2.0,0.6666666666666666,1.0,2.0,3.0,44.0,72.0,2.0,1.0,3.0,1.0,True,False,False,False,True
C005,56,1,0,306,8.0,751.5,93.9375,34.356780886124106,150.0,55.5,0.018750000000000003,4.0,16.0,285.0,0.8421052631578947,11.0,317.0,28.818181818181817,35.0,159.0,14.454545454545455,18.0,0.0,0.0,0.0,4.0,1.0,6.0,6.0,5.0,1.0,1.0,0.0,False,False,True,True,False
C006,31,0,1,270,2.0,78.49000000000001,39.245000000000005,5.296229791087245,42.99,35.5,0.0,2.0,237.0,28.0,2.142857142857143,3.0,15.0,5.0,6.0,5.0,1.6666666666666667,2.0,2.0,0.6666666666666666,1.0,2.0,3.0,46.0,96.0,2.3333333333333335,1.0,3.0,2.0,True,False,False,False,True
C007,29,1,0,343,9.0,977.99,108.66555555555556,45.115259921425455,180.0,55.0,0.01666666666666667,3.0,3.0,334.0,0.8083832335329342,12.0,340.0,28.333333333333332,35.0,170.0,14.166666666666666,18.0,0.0,0.0,0.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,0.0,False,False,True,True,False
C008,38,1,0,235,7.0,1050.0,150.0,60.42971123545106,250.0,82.5,0.03571428571428571,3.0,6.0,224.0,0.9375,11.0,405.0,36.81818181818182,45.0,212.0,19.272727272727273,25.0,0.0,0.0,0.0,4.0,1.0,4.0,4.0,5.0,1.0,1.0,0.0,False,True,False,False,True
C009,42,0,1,288,2.0,55.980000000000004,27.990000000000002,7.071067811865479,32.99,22.99,0.0,1.0,260.0,24.0,2.5,3.0,12.0,4.0,5.0,4.0,1.3333333333333333,2.0,2.0,0.6666666666666666,1.0,2.0,3.0,46.666666666666664,72.0,2.0,1.0,3.0,2.0,True,False,False,True,False
C010,27,1,0,320,8.0,877.5,109.6875,40.27400570733293,165.0,68.5,0.025,4.0,3.0,311.0,0.7717041800643086,11.0,315.0,28.636363636363637,35.0,157.0,14.272727272727273,18.0,0.0,0.0,0.0,4.0,1.0,6.0,6.0,5.0,1.0,1.0,0.0,False,False,True,False,True
C011,35,1,0,213,7.0,1288.5,184.07142857142858,77.38024541801597,320.0,98.5,0.021428571428571432,3.0,9.0,197.0,1.0659898477157361,11.0,433.0,39.36363636363637,48.0,232.0,21.09090909090909,27.0,0.0,0.0,0.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,0.0,False,True,False,True,False
C012,48,0,1,253,2.0,57.489999999999995,28.744999999999997,0.34648232278140595,28.99,28.5,0.0,2.0,225.0,22.0,2.7272727272727275,3.0,13.0,4.333333333333333,6.0,4.0,1.3333333333333333,2.0,2.0,0.6666666666666666,1.0,2.0,3.0,27.333333333333332,48.0,3.0,1.0,3.0,1.0,True,False,False,False,True
C013,26,1,0,335,8.0,815.49,101.93625,40.69920600752375,165.0,58.5,0.018750000000000003,4.0,11.0,318.0,0.7547169811320755,11.0,315.0,28.636363636363637,35.0,157.0,14.272727272727273,18.0,0.0,0.0,0.0,4.0,1.0,4.0,4.0,5.0,1.0,1.0,0.0,False,False,True,True,False
